"Price"	"Name"
22499	"Asus"
23990	"Lenovo"
94499	"ASUS"
22939	"HP"
25250	"Asus"
174959	"HP"
30999	"Asus"
119990	"Acer"
38990	"Asus"
82861	"(CERTIFIED"
72000	"Dell"
NA	"Apple"
NA	"Acer"
NA	"HP"
NA	"Acer"
28980	"Dell"
39980	"Dell"
21485	"Dell"
30999	"Acer"
119990	"HP"
69399	"Acer"
74500	"Lenovo"
68850	"Lenovo"
67527	"Lenovo"
94690	"HP"
61990	"Asus"
55000	"Lenovo"
109990	"Lenovo"
22649	"Dell"
149990	"Omen"
47990	"LENOVO"
39590	"MSI"
26240	"Lenovo"
47623.48	"Lenovo"
18999	"HP"
31500	"(CERTIFIED"
38990	"ASUS"
82861	"Asus"
72000	"ACER"
28980	"Dell"
39980	"Dell"
21485	"Dell"
86999	"ACER"
22990	"Asus"
250	"LENOVO"
81845	"Saco"
126777	"HP"
64590	"HP"
29659	"Asus"
66990	"Lenovo"
33999	"ASUS"
12999	"Acer"
23420	"Lava"
47150	"(CERTIFIED"
33235	"Lenovo"
20290	"HP-NB-15-AY564TU-Intel®"
49990	"Acer"
19499	"Dell"
313587	"Lenovo"
38990	"Lenovo"
82861	"Acer"
72000	"Lenovo"
NA	"MSI"
28980	"Dell"
39980	"Dell"
21485	"Dell"
47408	"Lenovo"
24500	"Lenovo"
86499	"Dell"
56950	"DELL"
27990	"DELL"
143979	"(CERTIFIED"
32990	"Dell"
56376	"ACER"
73999	"Asus"
104098	"HP"
93830	"Dell"
49600	"Lenovo"
26999	"Dell"
64390	"ASUS"
84900	"Dell"
38990	"Lenovo"
82861	"Asus"
72000	"Micromax"
NA	"Lenovo"
NA	"(CERTIFIED"
NA	"AGB"
28980	"Dell"
39980	"Dell"
21485	"Dell"
64390	"Lenovo"
84900	"(CERTIFIED"
27887	"AGB"
32973	"ACER"
14999	"DELL"
6199	"Asus"
127900	"Lava"
63855.95	"HYNIX"
44000	"Apple"
46490	"ASUS"
32000	"HP"
68790	"DELL"
97500	"Lenovo"
117000	"HP"
38990	"Dell"
82861	"Lenovo"
72000	"LENOVO"
NA	"Acer"
NA	"Dell"
NA	"Dell"
NA	"Asus"
28980	"Dell"
39980	"Dell"
21485	"Dell"
77950	"HP"
104269.65	"Dell"
62490	"Lenovo"
56290	"ASUS"
27970	"Lenovo"
62836	"Lenovo"
57965	"Lenovo"
29590	"Lenovo"
79395	"Lenovo"
82000	"Lenovo"
52164	"Asus"
25395	"Apple"
28729	"Dell"
29590	"Lenovo"
77400	"Acer"
41979	"HP"
38990	"Lenovo"
82861	"Apple"
72000	"Asus"
NA	"ASUS"
NA	"Asus"
28980	"Dell"
39980	"Dell"
21485	"Dell"
29590	"Lenovo"
41090	"Apple"
14999	"Asus"
21390	"Lenovo"
67100	"Asus"
33299	"(CERTIFIED"
31990	"Lava"
45990	"Laptop"
105990	"Dell"
25000	"Lenovo"
62474	"HP"
157900	"HP"
38990	"Acer"
82861	"Dell"
72000	"Dell"
NA	"Lenovo"
NA	"(CERTIFIED"
NA	"MSI"
NA	"DELL"
NA	"Inspiron"
NA	"Alienware"
28980	"Dell"
39980	"Dell"
21485	"Dell"
62474	"Inspiron"
157900	"Alienware"
127000	"Lenovo"
28130	"Lenovo"
72999	"Apple"
23792	"Lenovo"
47849.23	"Lenovo"
50458.48	"HP"
99992	"Dell"
40500	"HP"
131472	"(CERTIFIED"
90499	"Acer"
76932	"Samsung"
99475	"Lenovo"
22788	"Dell"
38990	"Lenovo"
82861	"Apple"
72000	"HP"
NA	"HP"
NA	"Dell"
NA	"HP"
28980	"Dell"
39980	"Dell"
21485	"Dell"
22489	"HP"
49052	"(CERTIFIED"
24990	"Lenovo"
99710	"Lenovo"
41690	"Lenovo"
88003	"Lenovo"
94990	"HP"
24608	"Lenovo"
47286	"(CERTIFIED"
99500	"(CERTIFIED"
38990	"Lenovo"
82861	"Dell"
72000	"Lenovo"
NA	"Ideapad"
NA	"Lenovo"
NA	"Dell"
NA	"MSI"
NA	"Acer"
NA	"Lenovo"
NA	"Asus"
NA	"Lenovo"
28980	"Dell"
39980	"Dell"
21485	"Dell"
30990	"DELL"
60500	"Dell"
119416	"Azom"
29890	"Lenovo"
108875	"HP"
69499	"Acer"
59199	"Apple"
165196	"Latest"
34670	"Dell"
19232	"HP"
44280	"(CERTIFIED"
85999	"(CERTIFIED"
60772	"New"
82999	"Asus"
133499	"Lenovo"
39444	"DELLInspiron"
38990	"Lenovo"
82861	"ASUS"
72000	"Apple"
NA	"Acer"
NA	"Lenovo"
28980	"Dell"
39980	"Dell"
21485	"Dell"
133499	"Apple"
39444	"Acer"
22204.84	"Lenovo"
42324	"Lenovo"
154858	"ASUS"
29500	"Acer"
25199	"Dell"
34750	"Acer"
80465	"Asus"
56990	"Lenovo"
38990	"HP"
82861	"Lenovo"
72000	"Dell"
NA	"HP"
NA	"(CERTIFIED"
NA	"Lenovo"
NA	"Lenovo"
NA	"MSI"
NA	"Dell"
NA	"Dell"
NA	"HP"
28980	"Dell"
39980	"Dell"
21485	"Dell"
70999	"Lenovo"
48999	"Lenovo"
59000	"MSI"
48999	"HP"
80933	"Lenovo"
35640	"ACER"
31900	"Dell"
133857	"Acer"
20980	"Dell"
116843	"Alienware"
109990	"Acer"
145140	"HP"
54490	"Acer"
38990	"Lenovo"
82861	"HP"
72000	"HP"
NA	"Dell"
NA	"Dell"
NA	"Asus"
NA	"HP"
NA	"Asus"
28980	"Dell"
39980	"Dell"
21485	"Dell"
116098	"Lenovo"
48950	"Lenovo"
54386	"HP"
25736.3	"HP"
26462	"ASUS"
68689	"(CERTIFIED"
94000	"(CERTIFIED"
22024	"Lenovo"
51912	"LENOVO"
38790	"(CERTIFIED"
98990	"Acer"
25390	"Asus"
27899	"ASUS"
32990	"HP"
74990	"Acer"
38990	"HP"
82861	"Lenovo"
72000	"Acer"
NA	"(CERTIFIED"
NA	"Asus"
NA	"Asus"
28980	"Dell"
39980	"Dell"
21485	"Dell"
27899	"(CERTIFIED"
32990	"Asus"
74990	"Asus"
22990	"Lenovo"
23790	"Asus"
610	"HP"
52454	"ASUS"
37790	"INTEX"
113171	"2017"
148866	"Dell"
41000	"Dell"
31599	"Dell"
37390	"LenovoX270-20HMA11600/7th"
38990	"Apple"
82861	"Dell"
72000	"Acer"
NA	"Dell"
NA	"Dell"
NA	"Lenovo"
NA	"Lenovo"
NA	"(CERTIFIED"
28980	"Dell"
39980	"Dell"
21485	"Dell"
30990	"Asus"
43054	"Acer"
91990	"HP"
52004	"HP"
49500	"Lenovo"
169567	"DELL"
33990	"Dell"
158329	"HP"
179055.56	"Acer"
55724	"Samsung"
144593	"Lenovo"
28000	"Acer"
38990	"HP"
82861	"MSI"
72000	"Flagship"
NA	"HP"
NA	"Omen"
NA	"Acer"
NA	"HP"
NA	"(CERTIFIED"
NA	"HP"
28980	"Dell"
39980	"Dell"
21485	"Dell"
46761	"2017"
12500	"Asus"
145284.55	"(CERTIFIED"
46990	"HP"
19990	"Gigabyte"
31788	"Acer"
72870	"ASUS"
